,Aerolinea,Fecha Salida,Hora Salida,Vuelo Salida,Destino,%LF DEP,Mes,Dia Dep,categoria
0,AVA,2024-07-01,4:48:00 a.m.,8475,BOG,20.99,junio,lunes,A
1,AVA,2024-07-01,6:40:00 a.m.,9243,BOG,33.7,junio,lunes,AA
2,AVA,2024-07-01,4:23:00 a.m.,8415,BOG,85.64,junio,lunes,AA
3,AVA,2024-07-01,5:15:00 a.m.,8435,BOG,17.68,junio,lunes,AA
4,AVA,2024-07-01,6:14:00 a.m.,9725,BOG,20.99,junio,lunes,AA
5,AVA,2024-07-01,4:30:00 a.m.,9653,BOG,34.25,junio,lunes,AA
6,AVA,2024-07-01,5:25:00 a.m.,9245,BOG,46.96,junio,lunes,AA
7,AVA,2024-07-01,7:38:00 a.m.,8427,BOG,85.08,julio,lunes,AAA
8,AVA,2024-07-01,8:16:00 a.m.,9463,BOG,83.43,julio,lunes,AAA
9,AVA,2024-07-01,8:35:00 a.m.,8451,BOG,94.48,julio,lunes,AAA
10,AVA,2024-07-01,9:02:00 a.m.,9311,BOG,100.55,julio,lunes,AAA
11,AVA,2024-07-01,10:38:00 a.m.,9351,BOG,104.97,julio,lunes,A
12,AVA,2024-07-01,1:00:00 p.m.,9329,BOG,101.66,julio,lunes,AA
13,AVA,2024-07-01,2:57:00 p.m.,9303,BOG,106.63,julio,lunes,AA
14,AVA,2024-07-01,3:35:00 p.m.,9307,BOG,102.76,julio,lunes,AA
15,AVA,2024-07-01,5:52:00 p.m.,9313,BOG,102.21,julio,lunes,AAA
16,AVA,2024-07-01,5:24:00 p.m.,9301,BOG,102.76,julio,lunes,AA
17,AVA,2024-07-01,5:15:00 p.m.,9553,BOG,101.1,julio,lunes,AA
18,AVA,2024-07-01,6:12:00 p.m.,9343,BOG,102.76,julio,lunes,AAA
19,AVA,2024-07-01,5:48:00 p.m.,9309,BOG,98.34,julio,lunes,AA
20,AVA,2024-07-01,6:28:00 p.m.,9375,BOG,101.1,julio,lunes,AAA
21,AVA,2024-07-01,6:38:00 p.m.,9333,BOG,100.0,julio,lunes,AA
22,AVA,2024-07-01,7:56:00 p.m.,9331,BOG,102.21,julio,lunes,AA
23,AVA,2024-07-01,8:36:00 p.m.,9355,BOG,97.24,julio,lunes,AA
24,AVA,2024-07-01,9:53:00 p.m.,9327,BOG,94.48,julio,lunes,AA
25,AVA,2024-07-01,10:26:00 p.m.,9335,BOG,97.24,julio,lunes,AA
26,AVA,2024-07-02,6:32:00 a.m.,9243,BOG,97.79,julio,martes,AA
27,AVA,2024-07-02,7:58:00 a.m.,9463,BOG,101.1,julio,martes,AAA
28,AVA,2024-07-02,5:25:00 a.m.,9245,BOG,90.06,julio,martes,AA
29,AVA,2024-07-02,6:10:00 a.m.,9725,BOG,97.79,julio,martes,AA
30,AVA,2024-07-02,4:58:00 a.m.,8435,BOG,87.85,julio,martes,AA
31,AVA,2024-07-02,4:53:00 a.m.,8475,BOG,85.64,julio,martes,A
32,AVA,2024-07-02,4:30:00 a.m.,9653,BOG,98.9,julio,martes,AA
33,AVA,2024-07-02,4:10:00 a.m.,8415,BOG,98.9,julio,martes,AA
34,AVA,2024-07-02,7:29:00 a.m.,8427,BOG,76.8,julio,martes,AAA
35,AVA,2024-07-02,8:30:00 a.m.,8451,BOG,98.9,julio,martes,AAA
36,AVA,2024-07-02,8:55:00 a.m.,9311,BOG,100.0,julio,martes,AAA
37,AVA,2024-07-02,11:01:00 a.m.,9349,BOG,83.43,julio,martes,AAA
38,AVA,2024-07-02,12:36:00 p.m.,9329,BOG,98.34,julio,martes,AA
39,AVA,2024-07-02,2:45:00 p.m.,9337,BOG,101.1,julio,martes,AAA
40,AVA,2024-07-02,2:51:00 p.m.,9303,BOG,98.34,julio,martes,AA
41,AVA,2024-07-02,4:24:00 p.m.,9307,BOG,101.1,julio,martes,AA
42,AVA,2024-07-02,5:25:00 p.m.,9553,BOG,103.31,julio,martes,AA
43,AVA,2024-07-02,5:36:00 p.m.,9309,BOG,100.0,julio,martes,AA
44,AVA,2024-07-02,6:03:00 p.m.,9343,BOG,96.69,julio,martes,AAA
45,AVA,2024-07-02,7:06:00 p.m.,9333,BOG,80.66,julio,martes,AA
46,AVA,2024-07-02,7:10:00 p.m.,9375,BOG,100.55,julio,martes,AAA
47,AVA,2024-07-02,8:22:00 p.m.,9331,BOG,95.03,julio,martes,AA
48,AVA,2024-07-02,8:45:00 p.m.,9355,BOG,97.79,julio,martes,AA
49,AVA,2024-07-02,8:58:00 p.m.,9313,BOG,50.83,julio,martes,AAA
50,AVA,2024-07-02,10:30:00 p.m.,9327,BOG,95.58,julio,martes,AA
51,AVA,2024-07-02,10:50:00 p.m.,9335,BOG,91.71,julio,martes,AA
52,AVA,2024-07-03,11:38:00 a.m.,9351,BOG,95.03,junio,mircoles,A
53,AVA,2024-07-03,10:06:00 a.m.,9557,BOG,99.45,julio,mircoles,AA
54,AVA,2024-07-03,4:10:00 a.m.,8445,BOG,80.66,julio,mircoles,C
55,AVA,2024-07-03,5:07:00 a.m.,8435,BOG,72.38,julio,mircoles,AA
56,AVA,2024-07-03,4:36:00 a.m.,9653,BOG,37.57,julio,mircoles,AA
57,AVA,2024-07-03,4:14:00 a.m.,8415,BOG,45.86,julio,mircoles,AA
58,AVA,2024-07-03,4:56:00 a.m.,8475,BOG,47.51,julio,mircoles,A
59,AVA,2024-07-03,6:44:00 a.m.,9243,BOG,101.66,julio,mircoles,AA
60,AVA,2024-07-03,7:29:00 a.m.,8427,BOG,103.47,julio,mircoles,AAA
