,Aerolinea,Fecha Salida,Hora Salida,Vuelo Salida,Destino,%LF DEP,Mes,Dia Dep,Tipo dia
0,AVA,2024-07-01,4:48:00 a.m.,8475,BOG,20.99,junio,lunes,3
1,AVA,2024-07-01,6:40:00 a.m.,9243,BOG,33.7,junio,lunes,3
2,AVA,2024-07-01,4:23:00 a.m.,8415,BOG,85.64,junio,lunes,3
3,AVA,2024-07-01,5:15:00 a.m.,8435,BOG,17.68,junio,lunes,3
4,AVA,2024-07-01,6:14:00 a.m.,9725,BOG,20.99,junio,lunes,3
5,AVA,2024-07-01,4:30:00 a.m.,9653,BOG,34.25,junio,lunes,3
6,AVA,2024-07-01,5:25:00 a.m.,9245,BOG,46.96,junio,lunes,3
7,AVA,2024-07-01,7:38:00 a.m.,8427,BOG,85.08,julio,lunes,3
8,AVA,2024-07-01,8:16:00 a.m.,9463,BOG,83.43,julio,lunes,3
9,AVA,2024-07-01,8:35:00 a.m.,8451,BOG,94.48,julio,lunes,3
10,AVA,2024-07-01,9:02:00 a.m.,9311,BOG,100.55,julio,lunes,3
11,AVA,2024-07-01,10:38:00 a.m.,9351,BOG,104.97,julio,lunes,3
12,AVA,2024-07-01,1:00:00 p.m.,9329,BOG,101.66,julio,lunes,3
13,AVA,2024-07-01,2:57:00 p.m.,9303,BOG,106.63,julio,lunes,3
14,AVA,2024-07-01,3:35:00 p.m.,9307,BOG,102.76,julio,lunes,3
15,AVA,2024-07-01,5:52:00 p.m.,9313,BOG,102.21,julio,lunes,3
16,AVA,2024-07-01,5:24:00 p.m.,9301,BOG,102.76,julio,lunes,3
17,AVA,2024-07-01,5:15:00 p.m.,9553,BOG,101.1,julio,lunes,3
18,AVA,2024-07-01,6:12:00 p.m.,9343,BOG,102.76,julio,lunes,3
19,AVA,2024-07-01,5:48:00 p.m.,9309,BOG,98.34,julio,lunes,3
20,AVA,2024-07-01,6:28:00 p.m.,9375,BOG,101.1,julio,lunes,3
21,AVA,2024-07-01,6:38:00 p.m.,9333,BOG,100.0,julio,lunes,3
22,AVA,2024-07-01,7:56:00 p.m.,9331,BOG,102.21,julio,lunes,3
